commodity_group,departure_date,destination,volume,Date
Oil products,2022-12-08T00:00:00Z,EU,1.204550709,12/8/2022
Oil products,2022-12-09T00:00:00Z,EU,1.191110029,12/9/2022
Oil products,2022-12-10T00:00:00Z,EU,1.192513063,12/10/2022
Oil products,2022-12-11T00:00:00Z,EU,1.183689887,12/11/2022
Oil products,2022-12-12T00:00:00Z,EU,1.201178833,12/12/2022
Oil products,2022-12-13T00:00:00Z,EU,1.188873879,12/13/2022
Oil products,2022-12-14T00:00:00Z,EU,1.149595313,12/14/2022
Oil products,2022-12-15T00:00:00Z,EU,1.143868106,12/15/2022
Oil products,2022-12-16T00:00:00Z,EU,1.15584753,12/16/2022
Oil products,2022-12-17T00:00:00Z,EU,1.189826805,12/17/2022
Oil products,2022-12-18T00:00:00Z,EU,1.194660223,12/18/2022
Oil products,2022-12-19T00:00:00Z,EU,1.20320459,12/19/2022
Oil products,2022-12-20T00:00:00Z,EU,1.16661276,12/20/2022
Oil products,2022-12-21T00:00:00Z,EU,1.129884622,12/21/2022
Oil products,2022-12-22T00:00:00Z,EU,1.1194115,12/22/2022
Oil products,2022-12-23T00:00:00Z,EU,1.11369745,12/23/2022
Oil products,2022-12-24T00:00:00Z,EU,1.121831457,12/24/2022
Oil products,2022-12-25T00:00:00Z,EU,1.137181411,12/25/2022
Oil products,2022-12-26T00:00:00Z,EU,1.128809434,12/26/2022
Oil products,2022-12-27T00:00:00Z,EU,1.131112095,12/27/2022
Oil products,2022-12-28T00:00:00Z,EU,1.151437775,12/28/2022
Oil products,2022-12-29T00:00:00Z,EU,1.153514223,12/29/2022
Oil products,2022-12-30T00:00:00Z,EU,1.162349255,12/30/2022
Oil products,2022-12-31T00:00:00Z,EU,1.17574233,12/31/2022
Oil products,2023-01-01T00:00:00Z,EU,1.172159201,1/1/2023
Oil products,2023-01-02T00:00:00Z,EU,1.173161992,1/2/2023
Oil products,2023-01-03T00:00:00Z,EU,1.194539953,1/3/2023
Oil products,2023-01-04T00:00:00Z,EU,1.168684579,1/4/2023
Oil products,2023-01-05T00:00:00Z,EU,1.165476451,1/5/2023
Oil products,2023-01-06T00:00:00Z,EU,1.134406144,1/6/2023
Oil products,2023-01-07T00:00:00Z,EU,1.116855477,1/7/2023
Oil products,2023-01-08T00:00:00Z,EU,1.143494494,1/8/2023
Oil products,2023-01-09T00:00:00Z,EU,1.130182564,1/9/2023
Oil products,2023-01-10T00:00:00Z,EU,1.128136234,1/10/2023
Oil products,2023-01-11T00:00:00Z,EU,1.135075867,1/11/2023
Oil products,2023-01-12T00:00:00Z,EU,1.145436383,1/12/2023
Oil products,2023-01-13T00:00:00Z,EU,1.148424818,1/13/2023
Oil products,2023-01-14T00:00:00Z,EU,1.13413057,1/14/2023
Oil products,2023-01-15T00:00:00Z,EU,1.129102192,1/15/2023
Oil products,2023-01-16T00:00:00Z,EU,1.109154482,1/16/2023
Oil products,2023-01-17T00:00:00Z,EU,1.061658281,1/17/2023
Oil products,2023-01-18T00:00:00Z,EU,1.057898187,1/18/2023
